STG,SCG,STR,LPR,PEG, UNS
0.19,0.22,0.65,0.11,0.75,Middle
0.12,0.8,0.55,0.4,0.2,Low
0.95,0.54,0.81,0.29,0.89,Middle
0.35,0.67,0.43,0.94,0.17,Middle
0.74,0.42,0.51,0.72,0.51,Middle
0.96,0.49,0.94,0.23,0.62,Low
0.42,0.09,0.32,0.67,0.3,Low
0.96,0.27,0.88,0.16,0.03,High
0.98,0.01,0.1,0.45,0.33,Low
0.69,0.05,0.47,0.68,0.02,Low
0.34,0.51,0.57,0.08,0.76,Low
0.54,0.5,0.85,0.58,0.09,Middle
0.43,0.52,0.21,0.52,0.3,Middle
0.61,0.56,0.55,0.12,0.84,High
0.11,0.14,0.91,0.85,0.1,Low
0.34,0.77,0.93,0.26,0.57,High
0.84,0.39,0.6,0.27,0.03,Low
0.24,0.38,0.57,0.33,0.28,Low
0.23,0.23,0.66,0.87,0.51,Low
0.21,0.17,0.93,0.23,0.75,Middle
0.21,0.84,0.12,0.27,0.04,High
0.62,0.06,0.58,0.2,0.91,Low
0.41,0.75,0.56,0.03,0.91,very_low
0.71,0.69,0.66,0.47,0.19,Low
0.17,0.47,0.47,0.34,0.6,very_low
0.12,0.41,0.1,0.35,0.47,Low
0.08,0.12,0.34,0.63,0.64,Low
0.48,0.19,0.42,0.91,0.25,High
0.7,0.26,0.04,0.1,0.79,Low
0.25,0.76,0.01,0.98,0.33,Middle
0.84,0.07,0.64,0.54,0.0,very_low
0.05,0.42,0.27,0.07,0.2,Low
0.87,0.76,0.12,0.69,0.91,Low
0.07,0.82,0.52,0.45,0.03,very_low
0.67,0.71,0.33,0.55,0.39,Middle
0.2,0.85,0.71,0.37,0.45,Low
0.23,0.89,0.42,0.78,0.46,Low
0.21,0.77,0.93,0.06,0.93,Low
0.96,0.85,0.07,0.15,0.74,High
0.86,0.75,0.59,0.21,0.22,Middle
0.84,0.46,0.56,0.59,0.89,High
0.72,0.8,0.93,0.34,0.81,Low
0.74,0.81,0.86,0.87,0.46,Low
0.82,0.3,0.83,0.46,0.15,Middle
0.24,0.12,0.36,0.32,0.48,Low
0.66,0.37,0.19,0.44,0.87,Low
0.44,0.19,0.05,0.88,0.64,High
0.28,0.62,0.23,0.07,0.63,Low
0.3,0.17,0.21,0.02,0.76,Low
0.41,0.74,0.84,0.43,0.42,Low
0.77,0.24,0.44,0.72,0.22,Middle
0.77,0.86,0.87,0.24,0.23,Low
0.29,0.75,0.26,0.97,0.24,Low
0.74,0.19,0.35,0.57,0.67,Low
0.46,0.23,0.84,0.51,0.91,Low
0.45,0.89,0.12,0.69,0.45,Low
0.55,0.52,0.9,0.58,0.75,High
0.79,0.04,0.4,0.39,0.45,High
0.62,0.14,0.88,0.19,0.16,Low
0.21,0.07,0.3,0.79,0.75,Middle
0.86,0.29,0.59,0.94,0.89,High
0.76,0.6,0.55,0.26,0.8,Low
0.9,0.18,0.21,0.06,0.3,very_low
0.11,0.16,0.49,0.36,0.7,High
0.17,0.84,0.24,0.78,0.66,High
0.34,0.79,0.07,0.89,0.9,Middle
0.39,0.18,0.51,0.96,0.29,very_low
0.56,0.12,0.73,0.07,0.2,Middle
0.05,0.27,0.44,0.61,0.21,Low
0.39,0.81,0.35,0.42,0.43,Middle
0.67,0.48,0.58,0.28,0.68,Low
0.57,0.4,0.44,0.19,0.85,High
0.99,0.33,0.26,0.16,0.06,High
0.9,0.29,0.04,0.2,0.25,High
0.26,0.51,0.29,0.71,0.36,Middle
0.63,0.13,0.54,0.17,0.84,Low
0.69,0.84,0.86,0.37,0.15,Middle
0.5,0.55,0.65,0.69,0.54,Middle
0.63,0.61,0.24,0.12,0.24,very_low
0.64,0.05,0.76,0.63,0.32,Middle
0.27,0.8,0.46,0.13,0.65,High
0.75,0.26,0.02,0.9,0.35,High
0.46,0.04,0.03,0.51,0.68,very_low
0.97,0.3,0.9,0.83,0.6,Low
0.22,0.27,0.78,0.64,0.23,Middle
0.34,0.43,0.5,0.07,0.8,Low
0.01,0.68,0.33,0.53,0.78,High
0.14,0.85,0.02,0.72,0.28,High
0.5,0.49,0.19,0.62,0.84,Middle
0.71,0.4,0.69,0.4,0.48,Middle
0.52,0.9,0.62,0.29,0.49,Low
0.91,0.33,0.85,0.0,0.84,Low
0.43,0.42,0.71,0.21,0.72,very_low
0.07,0.82,0.1,0.68,0.37,Middle
0.63,0.04,0.23,0.37,0.52,High
0.37,0.74,0.88,0.92,0.25,High
0.66,0.11,0.76,0.44,0.62,High
0.68,0.67,0.04,0.37,0.31,High
0.47,0.54,0.21,0.12,0.52,Low
0.31,0.23,0.27,0.78,0.04,High
0.96,0.8,0.58,0.95,0.46,Middle
0.38,0.46,0.3,0.04,0.5,Middle
0.77,0.32,0.08,0.74,0.13,High
0.86,0.44,0.19,0.11,0.29,Middle
0.41,0.81,0.65,0.46,0.63,Low
0.87,0.45,0.18,0.23,0.47,Middle
0.86,0.7,0.23,0.3,0.22,Low
0.74,0.24,0.03,0.61,0.41,High
0.4,0.53,0.77,0.13,0.79,High
0.74,0.7,0.47,0.8,0.28,very_low
0.9,0.62,0.26,0.64,0.36,Middle
0.03,0.68,0.22,0.12,0.84,very_low
0.3,0.31,0.78,0.65,0.45,Middle
0.52,0.13,0.87,0.75,0.44,Low
0.55,0.01,0.31,0.94,0.32,very_low
0.1,0.74,0.32,0.26,0.85,Low
0.74,0.09,0.21,0.08,0.27,Low
0.22,0.21,0.36,0.85,0.31,very_low
0.54,0.47,0.83,0.04,0.55,High
0.96,0.45,0.68,0.34,0.53,Low
0.07,0.17,0.67,0.04,0.57,Middle
0.48,0.56,0.76,0.3,0.45,Middle
0.64,0.66,0.24,0.92,0.77,Low
0.12,0.41,0.45,0.0,0.48,Middle
0.22,0.3,0.7,0.88,0.39,High
0.67,0.85,0.47,0.77,0.5,Middle
0.3,0.13,0.85,0.89,0.18,High
0.47,0.87,0.59,0.75,0.4,Low
0.45,0.73,0.55,0.21,0.36,Middle
0.19,0.33,0.22,0.88,0.9,High
0.98,0.42,0.57,0.41,0.57,Low
0.65,0.46,0.43,0.03,0.81,Low
0.83,0.05,0.11,0.02,0.76,Low
0.82,0.1,0.35,0.3,0.82,Low
0.37,0.57,0.17,0.2,0.51,Middle
0.51,0.68,0.87,0.17,0.84,Low
0.56,0.0,0.13,0.64,0.54,Middle
0.83,0.05,0.25,0.3,0.69,High
0.77,0.22,0.45,0.47,0.07,High
0.1,0.19,0.24,0.07,0.92,High
0.42,0.37,0.32,0.5,0.08,Middle
0.39,0.07,0.79,0.22,0.73,Middle
0.84,0.18,0.23,0.07,0.56,High
0.85,0.31,0.57,0.88,0.42,High
0.56,0.57,0.16,0.84,0.32,Middle
0.19,0.03,0.52,0.23,0.15,Middle
0.5,0.8,0.69,0.66,0.4,High
0.2,0.46,0.13,0.63,0.8,High
0.26,0.89,0.68,0.21,0.58,High
0.16,0.54,0.06,0.28,0.54,Low
0.33,0.7,0.09,0.54,0.02,Middle
0.23,0.54,0.11,0.45,0.63,Low
0.75,0.78,0.04,0.6,0.79,Low
0.93,0.68,0.68,0.64,0.33,very_low
0.33,0.7,0.85,0.52,0.43,Middle
0.93,0.09,0.57,0.43,0.82,High
0.79,0.41,0.62,0.33,0.38,very_low
0.79,0.22,0.7,0.37,0.59,Low
0.59,0.88,0.89,0.86,0.27,High
0.41,0.08,0.53,0.76,0.04,High
0.65,0.31,0.06,0.5,0.84,Middle
0.98,0.59,0.63,0.13,0.78,Middle
0.96,0.25,0.42,0.54,0.31,Middle
0.52,0.74,0.26,0.93,0.64,High
0.65,0.5,0.16,0.32,0.71,High
0.02,0.66,0.68,0.83,0.29,Middle
0.6,0.39,0.73,0.34,0.04,High
0.01,0.49,0.85,0.03,0.0,Middle
0.06,0.71,0.65,0.74,0.85,High
0.3,0.57,0.9,0.92,0.26,very_low
0.07,0.64,0.04,0.55,0.18,very_low
0.58,0.5,0.73,0.7,0.86,Low
0.02,0.09,0.52,0.05,0.74,Low
0.48,0.63,0.69,0.97,0.64,High
0.73,0.45,0.14,0.06,0.39,High
0.68,0.46,0.31,0.94,0.76,High
0.5,0.36,0.44,0.75,0.77,Low
0.46,0.7,0.66,0.38,0.82,Middle
0.51,0.66,0.31,0.83,0.4,High
0.61,0.64,0.09,0.52,0.74,Low
0.45,0.71,0.12,0.06,0.77,Low
0.91,0.47,0.59,0.44,0.49,very_low
0.3,0.43,0.3,0.91,0.06,Low
0.01,0.78,0.73,0.83,0.91,Low
0.35,0.75,0.31,0.68,0.91,Low
0.89,0.51,0.2,0.69,0.44,Low
0.09,0.89,0.85,0.72,0.84,Low
0.78,0.55,0.67,0.42,0.04,Middle
0.11,0.19,0.12,0.99,0.56,Low
0.45,0.18,0.88,0.46,0.53,Low
0.84,0.85,0.15,0.1,0.28,Middle
0.27,0.63,0.11,0.26,0.47,Low
0.08,0.66,0.93,0.98,0.16,Low
0.0,0.29,0.08,0.79,0.52,Low
0.28,0.4,0.86,0.8,0.67,Low
0.89,0.86,0.9,0.46,0.42,Low
0.33,0.2,0.57,0.89,0.8,Low
0.81,0.69,0.41,0.22,0.1,Middle
0.93,0.27,0.67,0.62,0.41,Low
0.29,0.3,0.27,0.97,0.18,Low
0.76,0.68,0.24,0.39,0.57,Middle
0.42,0.85,0.67,0.36,0.81,Middle
0.66,0.58,0.89,0.83,0.39,High
0.42,0.56,0.04,0.37,0.71,Low
0.51,0.3,0.39,0.0,0.15,High
0.23,0.89,0.18,0.47,0.49,Middle
0.81,0.56,0.13,0.85,0.33,Middle
0.73,0.81,0.9,0.04,0.23,Middle
0.58,0.67,0.71,0.52,0.33,High
0.14,0.22,0.63,0.26,0.2,Low
0.18,0.62,0.32,0.07,0.06,Middle
0.65,0.68,0.62,0.49,0.33,High
0.62,0.36,0.83,0.29,0.83,Low
0.76,0.55,0.26,0.82,0.91,High
0.89,0.84,0.18,0.55,0.87,Low
0.24,0.87,0.88,0.44,0.29,Low
0.38,0.15,0.91,0.89,0.68,Low
0.02,0.06,0.17,0.1,0.89,High
0.76,0.24,0.77,0.75,0.75,Middle
0.93,0.34,0.06,0.41,0.42,Low
0.35,0.28,0.67,0.02,0.67,Low
0.72,0.1,0.52,0.33,0.75,Low
0.84,0.64,0.88,0.5,0.14,Middle
0.6,0.35,0.52,0.1,0.72,Low
0.69,0.42,0.48,0.72,0.39,High
0.17,0.74,0.41,0.99,0.66,Low
0.29,0.4,0.57,0.44,0.79,High
0.57,0.47,0.22,0.23,0.39,Low
0.36,0.87,0.33,0.41,0.69,Middle
0.97,0.15,0.39,0.03,0.88,Low
0.59,0.52,0.67,0.05,0.56,Middle
0.98,0.72,0.04,0.05,0.25,High
0.19,0.06,0.65,0.98,0.68,High
0.45,0.85,0.34,0.84,0.68,Low
0.9,0.56,0.0,0.41,0.85,Low
0.72,0.12,0.9,0.85,0.86,Middle
0.37,0.66,0.9,0.61,0.39,Low
0.7,0.88,0.87,0.19,0.41,Middle
0.58,0.12,0.76,0.24,0.07,High
0.6,0.18,0.55,0.84,0.71,Low
0.53,0.66,0.6,0.72,0.83,Low
0.58,0.01,0.79,0.58,0.24,Middle
0.85,0.25,0.47,0.78,0.45,Middle
0.91,0.82,0.82,0.2,0.63,Middle
0.88,0.1,0.6,0.59,0.8,Middle
0.78,0.67,0.74,0.99,0.67,High
0.22,0.48,0.66,0.41,0.4,very_low
0.22,0.84,0.27,0.85,0.38,Low
0.8,0.2,0.33,0.95,0.41,Middle
0.64,0.42,0.57,0.27,0.34,Low
0.6,0.73,0.45,0.88,0.8,Middle
0.39,0.63,0.03,0.8,0.68,Low
0.13,0.4,0.38,0.32,0.28,Low
0.16,0.18,0.9,0.57,0.52,very_low
0.57,0.88,0.61,0.64,0.19,High
0.34,0.67,0.22,0.29,0.74,Low
0.72,0.58,0.72,0.2,0.64,High
0.12,0.37,0.37,0.89,0.4,High
0.4,0.44,0.74,0.93,0.85,Low
0.21,0.74,0.84,0.7,0.16,Low
0.41,0.4,0.16,0.76,0.5,Middle
0.76,0.87,0.53,0.16,0.55,very_low
0.46,0.34,0.44,0.71,0.32,Low
0.81,0.42,0.5,0.35,0.27,Middle
0.27,0.88,0.1,0.62,0.74,Low
0.52,0.49,0.03,0.65,0.7,High
0.58,0.27,0.17,0.32,0.21,Low
0.82,0.76,0.74,0.38,0.07,very_low
0.5,0.74,0.37,0.09,0.6,very_low
0.91,0.59,0.3,0.23,0.57,Low
0.63,0.24,0.91,0.04,0.04,High
0.23,0.28,0.45,0.48,0.48,High
0.6,0.13,0.17,0.48,0.66,Middle
0.7,0.84,0.8,0.98,0.56,High
0.16,0.48,0.82,0.46,0.88,High
0.48,0.6,0.11,0.13,0.07,Middle
0.67,0.77,0.63,0.16,0.5,Low
0.37,0.87,0.69,0.24,0.19,High
0.4,0.3,0.72,0.03,0.68,Low
0.99,0.86,0.95,0.73,0.64,Middle
0.87,0.53,0.22,0.19,0.62,Middle
0.16,0.12,0.7,0.64,0.09,Low
0.9,0.42,0.03,0.62,0.28,Low
0.18,0.23,0.54,0.67,0.57,Low
0.73,0.85,0.81,0.21,0.81,High
0.27,0.04,0.46,0.48,0.67,High
0.26,0.14,0.34,0.43,0.09,High
0.41,0.76,0.64,0.46,0.76,very_low
0.6,0.33,0.82,0.41,0.8,Middle
0.26,0.33,0.09,0.64,0.18,Low
0.92,0.04,0.09,0.23,0.86,Middle
0.92,0.1,0.48,0.88,0.18,very_low
0.35,0.73,0.0,0.67,0.02,very_low
0.56,0.84,0.79,0.95,0.27,Low
0.03,0.48,0.17,0.85,0.74,Low
0.28,0.71,0.85,0.04,0.38,Middle
0.61,0.71,0.4,0.18,0.41,Middle
0.47,0.61,0.6,0.74,0.45,Middle
0.1,0.83,0.45,0.17,0.39,Middle
0.66,0.7,0.79,0.07,0.68,Middle
0.01,0.43,0.28,0.55,0.54,High
0.58,0.89,0.21,0.91,0.83,Low
0.44,0.52,0.75,0.18,0.78,Low
0.75,0.46,0.16,0.29,0.88,High
0.01,0.02,0.37,0.54,0.57,High
0.36,0.08,0.76,0.52,0.33,Middle
0.11,0.01,0.27,0.04,0.12,Middle
0.91,0.31,0.26,0.34,0.88,Middle
0.19,0.85,0.79,0.9,0.84,Low
0.17,0.6,0.78,0.55,0.83,Low
0.14,0.08,0.41,0.88,0.48,very_low
0.5,0.69,0.57,0.13,0.57,very_low
0.44,0.77,0.31,0.97,0.74,Low
0.32,0.26,0.71,0.1,0.46,Low
0.02,0.7,0.3,0.6,0.61,Low
0.11,0.05,0.84,0.86,0.4,Low
0.17,0.78,0.23,0.41,0.33,Low
0.16,0.09,0.39,0.56,0.06,Low
0.22,0.38,0.34,0.05,0.22,Middle
0.51,0.14,0.62,0.52,0.73,Middle
0.86,0.66,0.72,0.28,0.76,High
0.45,0.57,0.13,0.06,0.92,High
0.74,0.65,0.25,0.32,0.15,Middle
0.91,0.75,0.33,0.36,0.87,High
0.11,0.66,0.52,0.76,0.16,Low
0.57,0.85,0.8,0.6,0.37,Middle
0.76,0.88,0.25,0.5,0.65,Low
0.87,0.24,0.34,0.88,0.78,Low
0.63,0.08,0.84,0.04,0.71,Low
0.45,0.06,0.52,0.88,0.77,Middle
0.84,0.75,0.73,0.34,0.43,Middle
0.85,0.2,0.0,0.51,0.59,High
0.37,0.61,0.18,0.82,0.89,Low
0.81,0.28,0.29,0.2,0.33,Middle
0.47,0.42,0.06,0.82,0.74,High
0.2,0.71,0.61,0.5,0.05,Low
0.55,0.68,0.15,0.51,0.21,High
0.21,0.37,0.75,0.88,0.19,Low
0.06,0.87,0.35,0.16,0.23,Low
0.28,0.13,0.2,0.9,0.3,Middle
0.97,0.28,0.76,0.28,0.4,High
0.24,0.37,0.59,0.28,0.16,High
0.31,0.15,0.27,0.09,0.29,very_low
0.58,0.5,0.84,0.62,0.72,Low
0.42,0.29,0.44,0.38,0.42,Low
0.33,0.71,0.08,0.69,0.09,very_low
0.12,0.69,0.3,0.94,0.89,High
0.82,0.22,0.19,0.78,0.72,very_low
0.6,0.62,0.88,0.14,0.1,High
0.07,0.78,0.47,0.04,0.21,Low
0.69,0.06,0.14,0.36,0.69,Middle
0.5,0.42,0.19,0.65,0.08,Low
0.69,0.37,0.61,0.2,0.79,Low
0.97,0.0,0.12,0.36,0.03,High
0.31,0.54,0.83,0.7,0.06,High
0.61,0.79,0.77,0.62,0.15,very_low
0.16,0.6,0.61,0.19,0.88,Middle
0.88,0.62,0.5,0.63,0.39,High
0.07,0.36,0.71,0.84,0.34,Middle
0.64,0.84,0.89,0.73,0.16,Low
0.41,0.38,0.78,0.73,0.77,very_low
0.28,0.32,0.46,0.52,0.54,High
0.09,0.02,0.72,0.87,0.22,Low
0.8,0.73,0.54,0.76,0.0,Low
0.71,0.73,0.07,0.61,0.78,High
0.19,0.21,0.86,0.49,0.89,Low
0.09,0.77,0.28,0.78,0.35,High
0.3,0.7,0.68,0.38,0.75,very_low
0.74,0.28,0.57,0.06,0.75,Low
0.84,0.11,0.78,0.23,0.48,Middle
0.61,0.32,0.23,0.11,0.31,High
0.48,0.05,0.79,0.62,0.83,Middle
0.86,0.3,0.87,0.3,0.66,Low
0.91,0.17,0.8,0.61,0.03,High
0.39,0.65,0.04,0.39,0.91,Middle
0.0,0.58,0.19,0.88,0.44,Low
0.5,0.15,0.43,0.3,0.36,Low
0.06,0.74,0.25,0.98,0.88,very_low
0.17,0.52,0.68,0.52,0.43,Middle
0.59,0.81,0.46,0.02,0.11,very_low
0.65,0.8,0.2,0.9,0.35,Middle
0.41,0.13,0.07,0.43,0.11,High
0.85,0.12,0.3,0.66,0.64,High
0.5,0.64,0.04,0.03,0.17,Low
0.8,0.63,0.26,0.89,0.58,High
0.39,0.33,0.85,0.6,0.12,Low
0.96,0.33,0.28,0.15,0.05,Low
0.65,0.46,0.33,0.36,0.89,Middle
0.91,0.5,0.43,0.16,0.18,Low
0.33,0.75,0.04,0.97,0.63,Middle
0.6,0.71,0.93,0.91,0.75,Low
0.47,0.08,0.29,0.96,0.57,Middle
0.64,0.75,0.01,0.9,0.35,High
0.84,0.26,0.77,0.5,0.73,Middle
0.75,0.68,0.91,0.13,0.33,High
0.12,0.17,0.42,0.45,0.63,Low
0.0,0.24,0.44,0.72,0.72,High
0.05,0.25,0.09,0.96,0.6,Low
0.91,0.03,0.08,0.16,0.09,Low
0.4,0.23,0.08,0.0,0.66,Low
0.3,0.24,0.59,0.1,0.45,Middle
0.37,0.55,0.87,0.09,0.63,Middle
0.37,0.84,0.32,0.71,0.92,Middle
0.57,0.25,0.06,0.35,0.43,Middle
0.95,0.54,0.26,0.33,0.24,High
0.26,0.28,0.03,0.09,0.13,Middle
0.87,0.23,0.89,0.73,0.93,Middle
0.29,0.24,0.02,0.26,0.06,Middle
0.38,0.54,0.3,0.42,0.62,High
0.88,0.01,0.64,0.09,0.25,Low
0.91,0.51,0.4,0.26,0.51,High
0.34,0.09,0.05,0.37,0.41,Middle
0.07,0.8,0.6,0.77,0.34,Middle
0.05,0.5,0.83,0.33,0.1,Middle
0.23,0.76,0.77,0.43,0.05,Low
0.22,0.45,0.24,0.73,0.64,High
0.24,0.25,0.37,0.38,0.3,High
0.97,0.29,0.91,0.87,0.8,Low
0.44,0.56,0.2,0.37,0.56,Low
0.7,0.41,0.07,0.26,0.51,very_low
0.61,0.61,0.71,0.08,0.79,High
0.62,0.4,0.44,0.24,0.74,Low
0.79,0.18,0.15,0.94,0.27,Low
0.89,0.37,0.29,0.48,0.82,High
0.7,0.1,0.08,0.07,0.57,High
0.59,0.54,0.89,0.85,0.8,very_low
0.52,0.59,0.12,0.23,0.25,Middle
0.14,0.16,0.77,0.88,0.53,Low
0.67,0.16,0.43,0.83,0.84,Middle
0.7,0.78,0.42,0.62,0.53,Low
0.36,0.53,0.44,0.12,0.43,Middle
0.3,0.23,0.54,0.21,0.33,Middle
0.54,0.47,0.44,0.82,0.15,High
0.82,0.43,0.0,0.71,0.03,Middle
0.76,0.29,0.11,0.5,0.34,Middle
0.86,0.04,0.29,0.95,0.51,Middle
0.63,0.79,0.43,0.36,0.72,Low
0.32,0.8,0.95,0.39,0.76,High
0.08,0.13,0.63,0.71,0.86,Middle
0.76,0.38,0.68,0.47,0.27,Low
0.91,0.78,0.82,0.32,0.87,Low
0.56,0.73,0.47,0.73,0.43,Middle
0.92,0.59,0.1,0.8,0.12,High
0.39,0.38,0.82,0.28,0.56,Middle
0.27,0.39,0.41,0.42,0.53,Low
0.23,0.55,0.63,0.47,0.81,Low
0.64,0.84,0.74,0.57,0.54,Low
0.35,0.57,0.56,0.02,0.29,very_low
0.54,0.63,0.71,0.98,0.75,High
0.53,0.46,0.89,0.38,0.36,Low
0.7,0.02,0.29,0.13,0.13,Low
0.82,0.54,0.82,0.52,0.33,Middle
0.84,0.68,0.31,0.02,0.05,Middle
0.21,0.85,0.71,0.54,0.54,very_low
0.42,0.42,0.04,0.46,0.35,very_low
0.51,0.01,0.72,0.93,0.92,Low
0.78,0.01,0.68,0.17,0.25,Low
0.02,0.05,0.93,0.79,0.33,Middle
0.03,0.22,0.46,0.83,0.17,Low
0.45,0.08,0.37,0.14,0.4,High
0.4,0.49,0.69,0.3,0.26,Middle
0.23,0.67,0.31,0.36,0.55,High
0.02,0.02,0.54,0.44,0.29,Middle
0.01,0.02,0.11,0.32,0.66,Middle
0.51,0.32,0.49,0.55,0.49,Middle
0.93,0.74,0.15,0.38,0.91,High
0.26,0.86,0.63,0.41,0.25,High
0.68,0.77,0.34,0.78,0.03,High
0.2,0.75,0.07,0.68,0.79,High
0.46,0.8,0.67,0.6,0.91,Low
0.67,0.26,0.81,0.75,0.73,Middle
0.14,0.57,0.71,0.1,0.84,High
0.78,0.69,0.64,0.71,0.41,Low
0.48,0.45,0.71,0.15,0.72,Low
0.71,0.8,0.32,0.23,0.6,Middle
0.76,0.11,0.35,0.33,0.14,Middle
0.46,0.86,0.87,0.2,0.45,Middle
0.96,0.2,0.69,0.28,0.53,Low
0.21,0.83,0.66,0.62,0.18,Low
0.24,0.4,0.11,0.76,0.02,Middle
0.99,0.74,0.15,0.84,0.72,Low
0.79,0.41,0.36,0.85,0.68,High
0.37,0.05,0.68,0.21,0.48,Low
0.23,0.33,0.73,0.79,0.76,Middle
0.45,0.31,0.82,0.65,0.56,Middle
0.31,0.12,0.32,0.63,0.21,Middle
0.65,0.74,0.66,0.18,0.53,Middle
0.08,0.52,0.95,0.76,0.68,High
0.61,0.5,0.05,0.04,0.9,Middle
0.25,0.57,0.14,0.35,0.58,High
0.29,0.51,0.75,0.13,0.84,Middle
0.31,0.33,0.68,0.38,0.2,Middle
0.12,0.52,0.32,0.93,0.22,Middle
0.08,0.11,0.34,0.09,0.18,Middle
0.84,0.78,0.16,0.24,0.43,High
0.29,0.73,0.23,0.27,0.16,Middle
0.29,0.63,0.17,0.17,0.57,Middle
0.5,0.76,0.44,0.77,0.81,High
0.83,0.85,0.7,0.14,0.2,Low
0.52,0.34,0.89,0.09,0.54,Middle
0.87,0.76,0.41,0.04,0.86,Middle
0.89,0.19,0.16,0.61,0.45,Middle
0.05,0.9,0.88,0.54,0.27,High
0.18,0.86,0.63,0.17,0.93,Middle
0.89,0.21,0.43,0.26,0.36,very_low
0.17,0.66,0.07,0.96,0.62,Low
